,time,step,surface,latitude,longitude,valid_time,t,gribfile_projection,y,x,point_latitude,point_longitude,heightAboveGround,t2m,inversion
0,2016-01-01,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-01,275.76343,,308693.9305586379,1481426.7764670649,40,-80,2.0,275.63565,False
1,2016-01-01,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-01,275.76343,,308693.9305586379,1481426.7764670649,40,-80,2.0,275.63565,False
2,2016-01-01,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-01,275.76343,,308693.9305586379,1481426.7764670649,40,-80,2.0,275.63565,False
3,2016-01-02,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-02,272.41476,,308693.9305586379,1481426.7764670649,40,-80,2.0,273.72888,True
4,2016-01-02,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-02,272.41476,,308693.9305586379,1481426.7764670649,40,-80,2.0,273.72888,True
5,2016-01-02,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-02,272.41476,,308693.9305586379,1481426.7764670649,40,-80,2.0,273.72888,True
6,2016-01-03,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-03,272.22485,,308693.9305586379,1481426.7764670649,40,-80,2.0,272.88837,False
7,2016-01-03,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-03,272.22485,,308693.9305586379,1481426.7764670649,40,-80,2.0,272.88837,False
8,2016-01-03,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-03,272.22485,,308693.9305586379,1481426.7764670649,40,-80,2.0,272.88837,False
9,2016-01-04,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-04,273.61798,,308693.9305586379,1481426.7764670649,40,-80,2.0,274.45514,False
10,2016-01-04,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-04,273.61798,,308693.9305586379,1481426.7764670649,40,-80,2.0,274.45514,False
11,2016-01-04,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-04,273.61798,,308693.9305586379,1481426.7764670649,40,-80,2.0,274.45514,False
12,2016-01-05,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-05,264.9939,,308693.9305586379,1481426.7764670649,40,-80,2.0,266.18237,True
13,2016-01-05,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-05,264.9939,,308693.9305586379,1481426.7764670649,40,-80,2.0,266.18237,True
14,2016-01-05,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-05,264.9939,,308693.9305586379,1481426.7764670649,40,-80,2.0,266.18237,True
15,2016-01-06,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-06,262.61,,308693.9305586379,1481426.7764670649,40,-80,2.0,267.53387,True
16,2016-01-06,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-06,262.61,,308693.9305586379,1481426.7764670649,40,-80,2.0,267.53387,True
17,2016-01-06,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-06,262.61,,308693.9305586379,1481426.7764670649,40,-80,2.0,267.53387,True
18,2016-01-07,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-07,264.99982,,308693.9305586379,1481426.7764670649,40,-80,2.0,267.97266,True
19,2016-01-07,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-07,264.99982,,308693.9305586379,1481426.7764670649,40,-80,2.0,267.97266,True
20,2016-01-07,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-07,264.99982,,308693.9305586379,1481426.7764670649,40,-80,2.0,267.97266,True
21,2016-01-08,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-08,270.22388,,308693.9305586379,1481426.7764670649,40,-80,2.0,274.50388,True
22,2016-01-08,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-08,270.22388,,308693.9305586379,1481426.7764670649,40,-80,2.0,274.50388,True
23,2016-01-08,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-08,270.22388,,308693.9305586379,1481426.7764670649,40,-80,2.0,274.50388,True
24,2016-01-09,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-09,276.57498,,308693.9305586379,1481426.7764670649,40,-80,2.0,277.49564,False
25,2016-01-09,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-09,276.57498,,308693.9305586379,1481426.7764670649,40,-80,2.0,277.49564,False
26,2016-01-09,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-09,276.57498,,308693.9305586379,1481426.7764670649,40,-80,2.0,277.49564,False
27,2016-01-10,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-10,279.91943,,308693.9305586379,1481426.7764670649,40,-80,2.0,281.03723,True
28,2016-01-10,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-10,279.91943,,308693.9305586379,1481426.7764670649,40,-80,2.0,281.03723,True
29,2016-01-10,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-10,279.91943,,308693.9305586379,1481426.7764670649,40,-80,2.0,281.03723,True
30,2016-01-11,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-11,272.50574,,308693.9305586379,1481426.7764670649,40,-80,2.0,272.7821,False
31,2016-01-11,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-11,272.50574,,308693.9305586379,1481426.7764670649,40,-80,2.0,272.7821,False
32,2016-01-11,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-11,272.50574,,308693.9305586379,1481426.7764670649,40,-80,2.0,272.7821,False
33,2016-01-12,0 days,0.0,40.00612956454873,279.99165552285507,2016-01-12,268.61282,,308693.9305586379,1481426.7764670649,40,-80,2.0,269.68127,True
